# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 200
1 0.025875 0 0
2 0.077625 0 0
3 0.129375 0 0
4 0.181125 0 0
5 0.232875 0 0
6 0.284625 0 0
7 0.336375 0 0
8 0.388125 0 0
9 0.439875 0 0
10 0.491625 0 0
11 0.543375 0 0
12 0.595125 0 0
13 0.646875 0 0
14 0.698625 0 0
15 0.750375 0 0
16 0.802125 0 0
17 0.853875 0 0
18 0.905625 0 0
19 0.957375 0 0
20 1.00913 0 0
21 1.06088 0 0
22 1.11262 0 0
23 1.16437 0 0
24 1.21612 0 0
25 1.26788 0 0
26 1.31963 0 0
27 1.37137 0 0
28 1.42313 0 0
29 1.47488 0 0
30 1.52662 0 0
31 1.57838 0 0
32 1.63012 0.000100475 1e-05
33 1.68187 0.000298869 4.2e-05
34 1.73363 0.000559427 0.000106
35 1.78537 0.00166031 0.000307333
36 1.83713 0.00713097 0.00122067
37 1.88888 0.0195059 0.003858
38 1.94062 0.0472014 0.0105893
39 1.99238 0.0953846 0.0249247
40 2.04412 0.158756 0.0500507
41 2.09587 0.229818 0.0882907
42 2.14763 0.294909 0.139808
43 2.19937 0.357893 0.205364
44 2.25112 0.407019 0.283481
45 2.30288 0.442664 0.372384
46 2.35462 0.47505 0.472156
47 2.40638 0.499308 0.581691
48 2.45813 0.52843 0.702638
49 2.50988 0.553914 0.834808
50 2.56162 0.571085 0.976767
51 2.61337 0.590786 1.1296
52 2.66512 0.620302 1.29649
53 2.71688 0.642086 1.476
54 2.76863 0.666066 1.66943
55 2.82037 0.691382 1.87777
56 2.87212 0.716587 2.1017
57 2.92387 0.751423 2.34507
58 2.97563 0.802668 2.61431
59 3.02738 0.865571 2.91481
60 3.07913 0.929465 3.24863
61 3.13087 0.991953 3.61695
62 3.18262 1.04255 4.01697
63 3.23438 1.08512 4.44697
64 3.28613 1.11757 4.90413
65 3.33788 1.14424 5.38714
66 3.38962 1.16707 5.89516
67 3.44137 1.17326 6.42157
68 3.49312 1.18906 6.97122
69 3.54488 1.20634 7.54551
70 3.59663 1.21771 8.14226
71 3.64838 1.22315 8.75903
72 3.70012 1.22562 9.39471
73 3.75187 1.22169 10.0462
74 3.80363 1.21607 10.7126
75 3.85538 1.21429 11.3963
76 3.90713 1.20845 12.0951
77 3.95887 1.19595 12.8051
78 4.01062 1.18361 13.5263
79 4.06237 1.17346 14.2599
80 4.11413 1.16078 15.0042
81 4.16588 1.15017 15.7604
82 4.21763 1.12928 16.5214
83 4.26937 1.11538 17.2916
