# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 200
1 0.025875 0 0
2 0.077625 0 0
3 0.129375 0 0
4 0.181125 0 0
5 0.232875 0 0
6 0.284625 0 0
7 0.336375 0 0
8 0.388125 0 0
9 0.439875 0 0
10 0.491625 0 0
11 0.543375 0 0
12 0.595125 0 0
13 0.646875 0 0
14 0.698625 0 0
15 0.750375 0 0
16 0.802125 0 0
17 0.853875 0 0
18 0.905625 0 0
19 0.957375 0 0
20 1.00913 0 0
21 1.06088 0 0
22 1.11262 0 0
23 1.16437 0 0
24 1.21612 0 0
25 1.26788 0 0
26 1.31963 0 0
27 1.37137 0 0
28 1.42313 0 0
29 1.47488 0 0
30 1.52662 6.22636e-05 5.33333e-06
31 1.57838 0.000224035 2.6e-05
32 1.63012 0.000430717 6.73333e-05
33 1.68187 0.00114681 0.000183333
34 1.73363 0.00257467 0.000459333
35 1.78537 0.00563311 0.00109667
36 1.83713 0.0110119 0.00242
37 1.88888 0.0267096 0.00581067
38 1.94062 0.0530638 0.0129327
39 1.99238 0.0940004 0.0262373
40 2.04412 0.143079 0.0475433
41 2.09587 0.201884 0.079114
42 2.14763 0.255085 0.121028
43 2.19937 0.304988 0.173601
44 2.25112 0.349668 0.236741
45 2.30288 0.390847 0.310573
46 2.35462 0.429836 0.395507
47 2.40638 0.463271 0.491126
48 2.45813 0.493207 0.59738
49 2.50988 0.519937 0.714127
50 2.56162 0.555854 0.844121
51 2.61337 0.579302 0.985148
52 2.66512 0.607927 1.13905
53 2.71688 0.631196 1.30507
54 2.76863 0.657597 1.48472
55 2.82037 0.681199 1.67791
56 2.87212 0.710192 1.88679
57 2.92387 0.755585 2.11708
58 2.97563 0.813827 2.37393
59 3.02738 0.875696 2.66004
60 3.07913 0.935204 2.97613
61 3.13087 0.985039 3.32041
62 3.18262 1.03508 3.6942
63 3.23438 1.07267 4.09428
64 3.28613 1.10919 4.52121
65 3.33788 1.14438 4.97573
66 3.38962 1.1614 5.45147
67 3.44137 1.17576 5.94783
68 3.49312 1.18923 6.46503
69 3.54488 1.19882 7.00187
70 3.59663 1.20833 7.55881
71 3.64838 1.20678 8.13117
72 3.70012 1.20659 8.71985
73 3.75187 1.21274 9.32812
74 3.80363 1.20577 9.94982
75 3.85538 1.20962 10.5906
76 3.90713 1.20322 11.2451
77 3.95887 1.20409 11.9175
78 4.01062 1.19227 12.6011
79 4.06237 1.18359 13.2972
80 4.11413 1.16855 14.0021
81 4.16588 1.15714 14.7178
82 4.21763 1.13949 15.4401
