# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 200
1 0.025875 0 0
2 0.077625 0 0
3 0.129375 0 0
4 0.181125 0 0
5 0.232875 0 0
6 0.284625 0 0
7 0.336375 0 0
8 0.388125 0 0
9 0.439875 0 0
10 0.491625 0 0
11 0.543375 0 0
12 0.595125 0 0
13 0.646875 0 0
14 0.698625 0 0
15 0.750375 0 0
16 0.802125 0 0
17 0.853875 0 0
18 0.905625 0 0
19 0.957375 0 0
20 1.00913 0 0
21 1.06088 0 0
22 1.11262 0 0
23 1.16437 0 0
24 1.21612 0 0
25 1.26788 0 0
26 1.31963 0 0
27 1.37137 4.05993e-05 2.66667e-06
28 1.42313 6.92318e-05 7.33333e-06
29 1.47488 9.00264e-05 1.4e-05
30 1.52662 0.000407489 4.66667e-05
31 1.57838 0.000772801 0.000113333
32 1.63012 0.00166859 0.000268667
33 1.68187 0.0031678 0.000578667
34 1.73363 0.00518017 0.00111733
35 1.78537 0.00923582 0.002134
36 1.83713 0.0192144 0.00437933
37 1.88888 0.0356681 0.00878067
38 1.94062 0.0614883 0.0167833
39 1.99238 0.101521 0.0307107
40 2.04412 0.146391 0.051862
41 2.09587 0.197528 0.0818467
42 2.14763 0.247714 0.121324
43 2.19937 0.293408 0.170311
44 2.25112 0.329404 0.227992
45 2.30288 0.372752 0.2963
46 2.35462 0.414286 0.375603
47 2.40638 0.442823 0.464158
48 2.45813 0.473285 0.562973
49 2.50988 0.506976 0.673218
50 2.56162 0.533498 0.794086
51 2.61337 0.563175 0.926918
52 2.66512 0.59452 1.07274
53 2.71688 0.617629 1.23016
54 2.76863 0.649214 1.40205
55 2.82037 0.681459 1.58937
56 2.87212 0.720034 1.79466
57 2.92387 0.766923 2.02123
58 2.97563 0.816921 2.27123
59 3.02738 0.875121 2.54845
60 3.07913 0.928352 2.85258
61 3.13087 0.979558 3.18437
62 3.18262 1.02646 3.54364
63 3.23438 1.06554 3.92882
64 3.28613 1.09909 4.33892
65 3.33788 1.12588 4.77221
66 3.38962 1.1505 5.22877
67 3.44137 1.16972 5.70716
68 3.49312 1.17052 6.20034
69 3.54488 1.18229 6.71333
70 3.59663 1.19133 7.24559
71 3.64838 1.19481 7.79495
72 3.70012 1.19823 8.36164
73 3.75187 1.20547 8.94782
74 3.80363 1.20146 9.54831
75 3.85538 1.20038 10.1645
76 3.90713 1.19692 10.7956
77 3.95887 1.18849 11.4389
78 4.01062 1.17909 12.0937
79 4.06237 1.17611 12.7639
80 4.11413 1.16478 13.4445
