# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 200
1 0.025875 0 0
2 0.077625 0 0
3 0.129375 0 0
4 0.181125 0 0
5 0.232875 0 0
6 0.284625 0 0
7 0.336375 0 0
8 0.388125 0 0
9 0.439875 0 0
10 0.491625 0 0
11 0.543375 0 0
12 0.595125 0 0
13 0.646875 0 0
14 0.698625 0 0
15 0.750375 0 0
16 0.802125 0 0
17 0.853875 0 0
18 0.905625 0 0
19 0.957375 0 0
20 1.00913 0 0
21 1.06088 0 0
22 1.11262 0 0
23 1.16437 0 0
24 1.21612 0 0
25 1.26788 0 0
26 1.31963 6.45649e-05 4e-06
27 1.37137 0.000290782 2.26667e-05
28 1.42313 0.000680444 7e-05
29 1.47488 0.00150075 0.000178667
30 1.52662 0.00221642 0.000351333
31 1.57838 0.0044103 0.000718
32 1.63012 0.00565458 0.00122733
33 1.68187 0.00976951 0.00215667
34 1.73363 0.0150453 0.00367933
35 1.78537 0.0245818 0.00632933
36 1.83713 0.0391653 0.010808
37 1.88888 0.0574019 0.0177393
38 1.94062 0.0847004 0.028534
39 1.99238 0.120493 0.0447647
40 2.04412 0.159069 0.067296
41 2.09587 0.201094 0.0972393
42 2.14763 0.241629 0.135016
43 2.19937 0.283605 0.181504
44 2.25112 0.32363 0.237062
45 2.30288 0.359252 0.301631
46 2.35462 0.397337 0.376258
47 2.40638 0.431472 0.460878
48 2.45813 0.461262 0.555273
49 2.50988 0.488491 0.659431
50 2.56162 0.529615 0.777059
51 2.61337 0.558089 0.906109
52 2.66512 0.588927 1.0478
53 2.71688 0.619008 1.20255
54 2.76863 0.652066 1.37176
55 2.82037 0.682393 1.55556
56 2.87212 0.724635 1.75799
57 2.92387 0.770617 1.9812
58 2.97563 0.831535 2.23057
59 3.02738 0.88253 2.50442
60 3.07913 0.931734 2.80344
61 3.13087 0.986508 3.13079
62 3.18262 1.02948 3.48373
63 3.23438 1.07029 3.86285
64 3.28613 1.09969 4.26496
65 3.33788 1.11574 4.68576
66 3.38962 1.13374 5.1267
67 3.44137 1.14355 5.58515
68 3.49312 1.1612 6.06479
69 3.54488 1.17007 6.56238
70 3.59663 1.17937 7.07861
71 3.64838 1.18403 7.6118
72 3.70012 1.19103 8.16337
73 3.75187 1.19591 8.7329
74 3.80363 1.1891 9.31495
75 3.85538 1.1917 9.91419
76 3.90713 1.18775 10.5277
77 3.95887 1.18426 11.1555
78 4.01062 1.17787 11.7962
79 4.06237 1.17073 12.4494
80 4.11413 1.15971 13.113
