# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 200
1 0.025875 0 0
2 0.077625 0 0
3 0.129375 0 0
4 0.181125 0 0
5 0.232875 0 0
6 0.284625 0 0
7 0.336375 0 0
8 0.388125 0 0
9 0.439875 0 0
10 0.491625 0 0
11 0.543375 0 0
12 0.595125 0 0
13 0.646875 0 0
14 0.698625 0 0
15 0.750375 0 0
16 0.802125 0 0
17 0.853875 0 0
18 0.905625 0 0
19 0.957375 0 0
20 1.00913 0 0
21 1.06088 0 0
22 1.11262 0 0
23 1.16437 0 0
24 1.21612 0 0
25 1.26788 0 0
26 1.31963 0 0
27 1.37137 0 0
28 1.42313 0 0
29 1.47488 0 0
30 1.52662 0 0
31 1.57838 0 0
32 1.63012 0 0
33 1.68187 0 0
34 1.73363 9.38622e-05 1.26667e-05
35 1.78537 5.12545e-05 2e-05
36 1.83713 0.000634765 0.000117333
37 1.88888 0.00530196 0.000983333
38 1.94062 0.0323335 0.006574
39 1.99238 0.0994037 0.0246927
40 2.04412 0.217021 0.066342
41 2.09587 0.368719 0.140752
42 2.14763 0.49637 0.245937
43 2.19937 0.576893 0.374149
44 2.25112 0.612495 0.516757
45 2.30288 0.608187 0.664904
46 2.35462 0.592124 0.81564
47 2.40638 0.583284 0.970729
48 2.45813 0.582041 1.13219
49 2.50988 0.590355 1.30292
50 2.56162 0.600905 1.48395
51 2.61337 0.622469 1.67913
52 2.66512 0.64992 1.89105
53 2.71688 0.669523 2.11793
54 2.76863 0.692 2.36143
55 2.82037 0.709684 2.62056
56 2.87212 0.717476 2.89224
57 2.92387 0.726922 3.17747
58 2.97563 0.763871 3.48789
59 3.02738 0.826544 3.83555
60 3.07913 0.921787 4.23667
61 3.13087 1.00978 4.69101
62 3.18262 1.07233 5.18968
63 3.23438 1.10577 5.72073
64 3.28613 1.12694 6.27929
65 3.33788 1.14178 6.8632
66 3.38962 1.1644 7.47731
67 3.44137 1.19498 8.12695
68 3.49312 1.21411 8.80699
69 3.54488 1.23279 9.51808
70 3.59663 1.24514 10.2575
71 3.64838 1.26253 11.029
72 3.70012 1.26915 11.8267
73 3.75187 1.2656 12.6447
74 3.80363 1.25928 13.4811
75 3.85538 1.25315 14.3361
76 3.90713 1.23607 15.2024
77 3.95887 1.21972 16.0799
78 4.01062 1.20491 16.9697
79 4.06237 1.18371 17.8664
80 4.11413 1.16773 18.7737
81 4.16588 1.14228 19.6837
82 4.21763 1.11637 20.5953
83 4.26937 1.09713 21.5133
84 4.32112 1.07861 22.4378
