# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.05175 0 0
2 0.15525 0 0
3 0.25875 0 0
4 0.36225 0 0
5 0.46575 0 0
6 0.56925 0 0
7 0.67275 0 0
8 0.77625 0 0
9 0.87975 0 0
10 0.98325 0 0
11 1.08675 0 0
12 1.19025 0 0
13 1.29375 0 0
14 1.39725 0 0
15 1.50075 0 0
16 1.60425 0 0
17 1.70775 0 0
18 1.81125 0 0
19 1.91475 0.000737442 0.000268
20 2.01825 0.0936977 0.0382407
21 2.12175 0.750797 0.374699
22 2.22525 1.00055 0.867845
23 2.32875 0.640447 1.21349
24 2.43225 0.514593 1.51642
25 2.53575 0.581598 1.88859
26 2.63925 0.653326 2.3415
27 2.74275 0.669558 2.84276
28 2.84625 0.632523 3.35271
29 2.94975 0.582574 3.85717
30 3.05325 0.674693 4.48305
31 3.15675 1.10307 5.57701
32 3.26025 1.12129 6.76306
33 3.36375 1.10467 8.00688
34 3.46725 1.2343 9.48353
35 3.57075 1.32388 11.1633
36 3.67425 1.31008 12.9233
37 3.77775 1.26067 14.7137
38 3.88125 1.2241 16.5487
39 3.98475 1.21734 18.4722
40 4.08825 1.20807 20.4815
41 4.19175 1.17029 22.5278
42 4.29525 1.13398 24.6096
43 4.39875 1.08767 26.7039
44 4.50225 1.0421 28.8058
45 4.60575 1.01461 30.9475
46 4.70925 0.997246 33.1482
47 4.81275 0.982643 35.4131
48 4.91625 0.970701 37.7478
49 5.01975 0.975154 40.1929
50 5.12325 0.971324 42.7299
51 5.22675 0.969487 45.3654
52 5.33025 0.966124 48.0968
53 5.43375 0.955457 50.904
54 5.53725 0.941837 53.7776
55 5.64075 0.929131 56.7194
56 5.74425 0.91398 59.7205
57 5.84775 0.905248 62.801
58 5.95125 0.900292 65.9739
59 6.05475 0.910376 69.295
60 6.15825 0.923853 72.7814
61 6.26175 0.937348 76.4387
62 6.36525 0.950005 80.2689
63 6.46875 0.958103 84.2585
64 6.57225 0.975106 88.4498
65 6.67575 0.991749 92.8479
66 6.77925 1.0098 97.4659
67 6.88275 1.02071 102.277
68 6.98625 1.0346 107.302
69 7.08975 1.047 112.539
70 7.19325 1.0552 117.972
71 7.29675 1.06121 123.594
72 7.40025 1.06463 129.396
73 7.50375 1.05937 135.332
74 7.60725 1.05277 141.394
75 7.71075 1.05568 147.64
76 7.81425 1.05209 154.032
77 7.91775 1.05159 160.592
78 8.02125 1.04412 167.277
79 8.12475 1.03197 174.056
80 8.22825 1.0235 180.951
81 8.33175 1.01577 187.967
82 8.43525 1.00965 195.116
83 8.53875 0.996291 202.344
84 8.64225 0.984212 209.659
85 8.74575 0.975575 217.084
86 8.84925 0.96691 224.619
87 8.95275 0.960716 232.281
88 9.05625 0.953614 240.064
89 9.15975 0.952116 248.013
90 9.26325 0.951705 256.139
91 9.36675 0.952959 264.459
92 9.47025 0.954238 272.975
93 9.57375 0.958733 281.719
94 9.67725 0.959824 290.664
95 9.78075 0.969878 299.896
96 9.88425 0.980444 309.428
97 9.98775 0.987311 319.228
98 10.0913 0.996844 329.33
99 10.1948 1.00562 339.73
100 10.2982 1.0118 350.407
