# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.05175 0 0
2 0.15525 0 0
3 0.25875 0 0
4 0.36225 0 0
5 0.46575 0 0
6 0.56925 0 0
7 0.67275 0 0
8 0.77625 0 0
9 0.87975 0 0
10 0.98325 0 0
11 1.08675 0 0
12 1.19025 0 0
13 1.29375 3.35731e-05 4e-06
14 1.39725 0.000492826 7e-05
15 1.50075 0.00187092 0.000351333
16 1.60425 0.0050525 0.00122733
17 1.70775 0.0124873 0.00367933
18 1.81125 0.0320818 0.010808
19 1.91475 0.07142 0.028534
20 2.01825 0.140276 0.067296
21 2.12175 0.221856 0.135016
22 2.22525 0.304083 0.237062
23 2.32875 0.378718 0.376258
24 2.43225 0.446684 0.555273
25 2.53575 0.509473 0.777059
26 2.63925 0.573811 1.0478
27 2.74275 0.635849 1.37176
28 2.84625 0.703898 1.75799
29 2.94975 0.80161 2.23057
30 3.05325 0.907549 2.80344
31 3.15675 1.00835 3.48373
32 3.26025 1.08522 4.26496
33 3.36375 1.12488 5.1267
34 3.46725 1.15251 6.06479
35 3.57075 1.17479 7.07861
36 3.67425 1.18758 8.16337
37 3.77775 1.19246 9.31495
38 3.88125 1.1897 10.5277
39 3.98475 1.18103 11.7962
40 4.08825 1.16515 13.113
41 4.19175 1.14223 14.4704
42 4.29525 1.11624 15.8631
43 4.39875 1.09152 17.2912
44 4.50225 1.06035 18.7444
45 4.60575 1.03379 20.2271
46 4.70925 1.00993 21.741
47 4.81275 0.995789 23.3004
48 4.91625 0.98109 24.9035
49 5.01975 0.970307 26.5562
50 5.12325 0.963026 28.265
51 5.22675 0.95395 30.0267
52 5.33025 0.947544 31.8468
53 5.43375 0.948532 33.74
54 5.53725 0.949136 35.7075
55 5.64075 0.953077 37.7581
56 5.74425 0.959539 39.8991
57 5.84775 0.966262 42.1338
58 5.95125 0.969608 44.4561
59 6.05475 0.978162 46.8816
60 6.15825 0.982722 49.4025
61 6.26175 0.989793 52.0274
62 6.36525 0.998515 54.7639
63 6.46875 1.00143 57.5989
64 6.57225 1.01009 60.5505
65 6.67575 1.01229 63.6025
66 6.77925 1.01582 66.7607
67 6.88275 1.01781 70.0228
68 6.98625 1.01705 73.3804
69 7.08975 1.01444 76.8293
70 7.19325 1.01582 80.3847
71 7.29675 1.01483 84.0391
72 7.40025 1.01314 87.7915
73 7.50375 1.0115 91.6438
74 7.60725 1.0101 95.598
75 7.71075 1.00675 99.6469
76 7.81425 1.00377 103.792
77 7.91775 1.00194 108.039
78 8.02125 0.998253 112.382
79 8.12475 0.998004 116.838
80 8.22825 0.995989 121.398
81 8.33175 0.994451 126.067
82 8.43525 0.995025 130.855
83 8.53875 0.993165 135.753
84 8.64225 0.993502 140.772
85 8.74575 0.993518 145.911
86 8.84925 0.996544 151.188
87 8.95275 0.995419 156.584
88 9.05625 0.99775 162.119
89 9.15975 0.99815 167.783
90 9.26325 0.999924 173.586
91 9.36675 0.998921 179.514
92 9.47025 0.999735 185.578
93 9.57375 1.00087 191.782
94 9.67725 1.00128 198.125
95 9.78075 1.003 204.614
96 9.88425 1.00189 211.234
97 9.98775 1.00198 217.995
98 10.0913 1.00211 224.897
99 10.1948 1.0026 231.944
100 10.2982 1.00164 239.13
