# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.05175 0 0
2 0.15525 0 0
3 0.25875 0 0
4 0.36225 0 0
5 0.46575 0 0
6 0.56925 0 0
7 0.67275 0 0
8 0.77625 0 0
9 0.87975 0 0
10 0.98325 0 0
11 1.08675 0 0
12 1.19025 0 0
13 1.29375 0.000455141 5e-05
14 1.39725 0.00127884 0.000218667
15 1.50075 0.00404724 0.000834667
16 1.60425 0.00905721 0.00241333
17 1.70775 0.0201099 0.00639933
18 1.81125 0.0451533 0.0164713
19 1.91475 0.0890606 0.0387313
20 2.01825 0.154436 0.0816133
21 2.12175 0.226225 0.151048
22 2.22525 0.303095 0.253449
23 2.32875 0.37584 0.392439
24 2.43225 0.443365 0.571182
25 2.53575 0.509041 0.794283
26 2.63925 0.577354 1.06841
27 2.74275 0.638799 1.3958
28 2.84625 0.714991 1.79039
29 2.94975 0.818745 2.27561
30 3.05325 0.91729 2.85845
31 3.15675 1.00444 3.54076
32 3.26025 1.06584 4.31308
33 3.36375 1.10762 5.1671
34 3.46725 1.1392 6.10051
35 3.57075 1.15745 7.10605
36 3.67425 1.17219 8.18401
37 3.77775 1.17861 9.32981
38 3.88125 1.17908 10.5394
39 3.98475 1.1725 11.8075
40 4.08825 1.15754 13.1252
41 4.19175 1.13196 14.4797
42 4.29525 1.10878 15.872
43 4.39875 1.08371 17.2993
44 4.50225 1.05639 18.7561
45 4.60575 1.03532 20.25
46 4.70925 1.01347 21.779
47 4.81275 0.997017 23.35
48 4.91625 0.983739 24.9673
49 5.01975 0.970874 26.6314
50 5.12325 0.963063 28.3506
51 5.22675 0.956229 30.1271
52 5.33025 0.950079 31.9627
53 5.43375 0.950121 33.8709
54 5.53725 0.952173 35.8572
55 5.64075 0.952651 37.919
56 5.74425 0.958217 40.0706
57 5.84775 0.963999 42.3135
58 5.95125 0.969535 44.6494
59 6.05475 0.977518 47.0878
60 6.15825 0.981779 49.6216
61 6.26175 0.988318 52.2584
62 6.36525 0.995169 55.0023
63 6.46875 1.00028 57.8514
64 6.57225 1.00482 60.8054
65 6.67575 1.00898 63.8663
66 6.77925 1.01238 67.0338
67 6.88275 1.0142 70.3044
68 6.98625 1.01711 73.6834
69 7.08975 1.01614 77.1599
70 7.19325 1.01631 80.7388
71 7.29675 1.01437 84.4152
72 7.40025 1.01225 88.1889
73 7.50375 1.01208 92.067
74 7.60725 1.00911 96.0411
75 7.71075 1.00694 100.115
76 7.81425 1.0031 104.283
77 7.91775 1.00193 108.557
78 8.02125 1.00188 112.943
79 8.12475 1.00111 117.44
80 8.22825 0.999835 122.045
81 8.33175 0.999776 126.768
82 8.43525 0.997488 131.597
83 8.53875 0.998281 136.549
84 8.64225 0.996007 141.61
85 8.74575 0.997527 146.801
86 8.84925 0.99694 152.113
87 8.95275 0.996209 157.547
88 9.05625 0.997737 163.115
89 9.15975 0.995941 168.801
90 9.26325 0.99698 174.622
91 9.36675 0.998098 180.581
92 9.47025 0.999128 186.679
93 9.57375 1.00001 192.916
94 9.67725 1.00083 199.295
95 9.78075 1.00098 205.812
96 9.88425 1.00188 212.472
97 9.98775 1.00234 219.276
98 10.0913 1.00148 226.216
99 10.1948 1.00223 233.305
100 10.2982 1.00082 240.529
