# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.05175 0 0
2 0.15525 0 0
3 0.25875 0 0
4 0.36225 0 0
5 0.46575 0 0
6 0.56925 0 0
7 0.67275 0 0
8 0.77625 0 0
9 0.87975 0 0
10 0.98325 0 0
11 1.08675 0 0
12 1.19025 0 0
13 1.29375 0 0
14 1.39725 0 0
15 1.50075 0 0
16 1.60425 0 0
17 1.70775 0 0
18 1.81125 0 0
19 1.91475 3.74484e-05 1.4e-05
20 2.01825 0.0223117 0.009314
21 2.12175 0.849479 0.400887
22 2.22525 1.1532 0.985583
23 2.32875 0.564662 1.29909
24 2.43225 0.482615 1.59138
25 2.53575 0.622921 2.00142
26 2.63925 0.684087 2.48929
27 2.74275 0.642153 2.98391
28 2.84625 0.546488 3.43724
29 2.94975 0.48909 3.87297
30 3.05325 0.539019 4.38738
31 3.15675 1.23997 5.65243
32 3.26025 1.16031 6.91508
33 3.36375 1.19547 8.29982
34 3.46725 1.36343 9.97787
35 3.57075 1.37846 11.7772
36 3.67425 1.28043 13.547
37 3.77775 1.19275 15.2897
38 3.88125 1.17837 17.1071
39 3.98475 1.18467 19.0328
40 4.08825 1.20483 21.0943
41 4.19175 1.17916 23.2155
42 4.29525 1.13029 25.3502
43 4.39875 1.10563 27.5402
44 4.50225 1.07613 29.7732
45 4.60575 1.03139 32.0129
46 4.70925 1.02684 34.3441
47 4.81275 1.00067 36.7169
48 4.91625 0.98473 39.1534
49 5.01975 0.985464 41.6954
50 5.12325 0.98967 44.3546
51 5.22675 0.984414 47.1077
52 5.33025 0.973199 49.9383
53 5.43375 0.953539 52.8204
54 5.53725 0.932013 55.7458
55 5.64075 0.907087 58.7005
56 5.74425 0.872111 61.6466
57 5.84775 0.861916 64.664
58 5.95125 0.856244 67.7686
59 6.05475 0.866371 71.0202
60 6.15825 0.888818 74.4711
61 6.26175 0.920174 78.1647
62 6.36525 0.948183 82.0977
63 6.46875 0.956394 86.1946
64 6.57225 0.978056 90.5196
65 6.67575 0.988811 95.031
66 6.77925 1.00134 99.7422
67 6.88275 1.02017 104.69
68 6.98625 1.05029 109.937
69 7.08975 1.06255 115.405
70 7.19325 1.08507 121.152
71 7.29675 1.09192 127.104
72 7.40025 1.09994 133.27
73 7.50375 1.10095 139.616
74 7.60725 1.09159 146.082
75 7.71075 1.07991 152.655
76 7.81425 1.06917 159.339
77 7.91775 1.05661 166.119
78 8.02125 1.04526 173.004
79 8.12475 1.03529 180
80 8.22825 1.02931 187.134
81 8.33175 1.01925 194.377
82 8.43525 1.00249 201.679
83 8.53875 0.982358 209.011
84 8.64225 0.962977 216.374
85 8.74575 0.945937 223.781
86 8.84925 0.940604 231.322
87 8.95275 0.931206 238.963
88 9.05625 0.927058 246.746
89 9.15975 0.922519 254.67
90 9.26325 0.925756 262.802
91 9.36675 0.931078 271.165
92 9.47025 0.941015 279.805
93 9.57375 0.950608 288.724
94 9.67725 0.959926 297.927
95 9.78075 0.973337 307.459
96 9.88425 0.990175 317.362
97 9.98775 0.997161 327.545
98 10.0913 1.00978 338.072
99 10.1948 1.0227 348.953
100 10.2982 1.03765 360.219
