# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.05175 0 0
2 0.15525 0 0
3 0.25875 0 0
4 0.36225 0 0
5 0.46575 0 0
6 0.56925 0 0
7 0.67275 0 0
8 0.77625 0 0
9 0.87975 0 0
10 0.98325 0 0
11 1.08675 0 0
12 1.19025 0 0
13 1.29375 0 0
14 1.39725 0 0
15 1.50075 0 0
16 1.60425 0 0
17 1.70775 0 0
18 1.81125 1.95366e-05 6e-06
19 1.91475 0.0135298 0.004738
20 2.01825 0.162122 0.067806
21 2.12175 0.513903 0.288886
22 2.22525 0.698567 0.6194
23 2.32875 0.644099 0.95301
24 2.43225 0.585061 1.28346
25 2.53575 0.593593 1.64786
26 2.63925 0.635936 2.0708
27 2.74275 0.679438 2.55883
28 2.84625 0.688835 3.09166
29 2.94975 0.700671 3.67367
30 3.05325 0.82739 4.40995
31 3.15675 1.03045 5.39037
32 3.26025 1.10061 6.5072
33 3.36375 1.13118 7.72906
34 3.46725 1.19477 9.10042
35 3.57075 1.2545 10.6275
36 3.67425 1.27918 12.2763
37 3.77775 1.27584 14.0147
38 3.88125 1.25205 15.8153
39 3.98475 1.22539 17.6728
40 4.08825 1.18156 19.5581
41 4.19175 1.14559 21.4798
42 4.29525 1.10221 23.4213
43 4.39875 1.06679 25.392
44 4.50225 1.03445 27.3939
45 4.60575 1.0059 29.431
46 4.70925 0.982264 31.5107
47 4.81275 0.965025 33.6446
48 4.91625 0.957057 35.853
49 5.01975 0.952902 38.1452
50 5.12325 0.953988 40.5359
51 5.22675 0.955741 43.0286
52 5.33025 0.954962 45.619
53 5.43375 0.957331 48.3176
54 5.53725 0.957432 51.1202
55 5.64075 0.952458 54.0134
56 5.74425 0.954635 57.0205
57 5.84775 0.953615 60.1338
58 5.95125 0.957868 63.3726
59 6.05475 0.959042 66.7292
60 6.15825 0.960812 70.2079
61 6.26175 0.968826 73.8345
62 6.36525 0.975849 77.6091
63 6.46875 0.982406 81.5336
64 6.57225 0.992546 85.6267
65 6.67575 1.00086 89.885
66 6.77925 1.00284 94.2851
67 6.88275 1.00841 98.8457
68 6.98625 1.01613 103.58
69 7.08975 1.01819 108.466
70 7.19325 1.02061 113.508
71 7.29675 1.02252 118.705
72 7.40025 1.0227 124.052
73 7.50375 1.02427 129.558
74 7.60725 1.02531 135.222
75 7.71075 1.02719 141.053
76 7.81425 1.02632 147.035
77 7.91775 1.02872 153.192
78 8.02125 1.02331 159.477
79 8.12475 1.01785 165.892
80 8.22825 1.01407 172.446
81 8.33175 1.00999 179.139
82 8.43525 1.0053 185.968
83 8.53875 1.00081 192.934
84 8.64225 0.997254 200.045
85 8.74575 0.995253 207.312
86 8.84925 0.992098 214.729
87 8.95275 0.989457 222.3
88 9.05625 0.985676 230.018
89 9.15975 0.982724 237.89
90 9.26325 0.979594 245.915
91 9.36675 0.97573 254.088
92 9.47025 0.976052 262.445
93 9.57375 0.976503 270.99
94 9.67725 0.978055 279.734
95 9.78075 0.981369 288.697
96 9.88425 0.985928 297.892
97 9.98775 0.987656 307.298
98 10.0913 0.992207 316.944
99 10.1948 0.996027 326.827
100 10.2982 0.999487 336.947
