# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.05175 0 0
2 0.15525 0 0
3 0.25875 0 0
4 0.36225 0 0
5 0.46575 0 0
6 0.56925 0 0
7 0.67275 0 0
8 0.77625 0 0
9 0.87975 0 0
10 0.98325 0 0
11 1.08675 0 0
12 1.19025 0 0
13 1.29375 0 0
14 1.39725 0 0
15 1.50075 3.33195e-05 5.33333e-06
16 1.60425 0.000555712 0.00011
17 1.70775 0.00186251 0.000499333
18 1.81125 0.00851881 0.00250333
19 1.91475 0.0401933 0.013042
20 2.01825 0.1213 0.04839
21 2.12175 0.232811 0.123339
22 2.22525 0.337476 0.242819
23 2.32875 0.416429 0.404324
24 2.43225 0.481169 0.607949
25 2.53575 0.540535 0.856562
26 2.63925 0.593182 1.15207
27 2.74275 0.641195 1.49707
28 2.84625 0.701324 1.90335
29 2.94975 0.784791 2.39167
30 3.05325 0.896144 2.98916
31 3.15675 1.01465 3.71223
32 3.26025 1.09269 4.54292
33 3.36375 1.14332 5.46825
34 3.46725 1.18521 6.4872
35 3.57075 1.20461 7.58554
36 3.67425 1.20885 8.75262
37 3.77775 1.20961 9.98685
38 3.88125 1.20369 11.2832
39 3.98475 1.18836 12.6321
40 4.08825 1.17389 14.0346
41 4.19175 1.14298 15.47
42 4.29525 1.11322 16.9378
43 4.39875 1.07999 18.4315
44 4.50225 1.04445 19.9447
45 4.60575 1.01765 21.488
46 4.70925 0.994067 23.0643
47 4.81275 0.972926 24.6753
48 4.91625 0.957793 26.33
49 5.01975 0.952486 28.0456
50 5.12325 0.946054 29.8207
51 5.22675 0.939832 31.656
52 5.33025 0.94212 33.5696
53 5.43375 0.947298 35.5692
54 5.53725 0.951044 37.6537
55 5.64075 0.952807 39.8211
56 5.74425 0.960242 42.0861
57 5.84775 0.970732 44.4588
58 5.95125 0.975934 46.9294
59 6.05475 0.980691 49.4994
60 6.15825 0.989692 52.1823
61 6.26175 0.996788 54.9766
62 6.36525 1.00234 57.8801
63 6.46875 1.00967 60.9004
64 6.57225 1.01321 64.0296
65 6.67575 1.01473 67.2625
66 6.77925 1.01658 70.6031
67 6.88275 1.01741 74.0494
68 6.98625 1.01456 77.5902
69 7.08975 1.01139 81.2249
70 7.19325 1.01103 84.9655
71 7.29675 1.0087 88.8053
72 7.40025 1.00904 92.7559
73 7.50375 1.00611 96.806
74 7.60725 1.00547 100.966
75 7.71075 1.00199 105.226
76 7.81425 0.997674 109.581
77 7.91775 0.995299 114.042
78 8.02125 0.994512 118.617
79 8.12475 0.996976 123.322
80 8.22825 0.996997 128.147
81 8.33175 0.996354 133.092
82 8.43525 0.995562 138.156
83 8.53875 0.992739 143.331
84 8.64225 0.993614 148.636
85 8.74575 0.993333 154.068
86 8.84925 0.995809 159.642
87 8.95275 0.998502 165.364
88 9.05625 0.997807 171.215
89 9.15975 0.997831 177.201
90 9.26325 0.997543 183.32
91 9.36675 0.999392 189.588
92 9.47025 1.00112 196.007
93 9.57375 1.00059 202.563
94 9.67725 1.00007 209.258
95 9.78075 1.00152 216.108
96 9.88425 1.0015 223.103
97 9.98775 1.00052 230.239
98 10.0913 1.00088 237.525
99 10.1948 1.00114 244.963
100 10.2982 1.00233 252.563
