# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0 0
32 0.945 0 0
33 0.975 22.3287 12
34 1.005 0 12
35 1.035 0 12
36 1.065 0 12
37 1.095 0 12
38 1.125 0 12
39 1.155 0 12
40 1.185 0 12
41 1.215 0 12
42 1.245 0 12
43 1.275 0 12
44 1.305 0 12
45 1.335 0 12
46 1.365 0 12
47 1.395 5.45397 18
48 1.425 0 18
49 1.455 0 18
50 1.485 0 18
51 1.515 0 18
52 1.545 0 18
53 1.575 0 18
54 1.605 0 18
55 1.635 0 18
56 1.665 0 18
57 1.695 14.777 42
58 1.725 0 42
59 1.755 0 42
60 1.785 0 42
61 1.815 0 42
62 1.845 0 42
63 1.875 0 42
64 1.905 0 42
65 1.935 0 42
66 1.965 5.49761 54
67 1.995 0 54
68 2.025 0 54
69 2.055 0 54
70 2.085 0 54
71 2.115 0 54
72 2.145 0 54
73 2.175 0 54
74 2.205 8.732 78
75 2.235 0 78
76 2.265 0 78
77 2.295 0 78
78 2.325 0 78
79 2.355 0 78
80 2.385 0 78
81 2.415 2.42648 86
82 2.445 0 86
83 2.475 0 86
84 2.505 0 86
85 2.535 0 86
86 2.565 0 86
87 2.595 12.6092 134
88 2.625 0 134
89 2.655 0 134
90 2.685 0 134
91 2.715 0 134
92 2.745 0 134
93 2.775 1.37831 140
94 2.805 0 140
95 2.835 0 140
96 2.865 0 140
97 2.895 0 140
98 2.925 0 140
99 2.955 7.29307 176
100 2.985 0 176
20000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0.00724533 0.00342936
32 0.945 2.06632 1.04664
33 0.975 14.2286 8.69342
34 1.005 5.60827 11.8957
35 1.035 0.172148 12
36 1.065 0 12
37 1.095 0 12
38 1.125 0 12
39 1.155 0 12
40 1.185 0 12
41 1.215 0 12
42 1.245 0 12
43 1.275 0 12
44 1.305 0 12
45 1.335 0.161338 12.1626
46 1.365 1.88315 14.1461
47 1.395 2.87287 17.3066
48 1.425 0.592103 17.9863
49 1.455 0.0114619 18
50 1.485 0 18
51 1.515 0 18
52 1.545 0 18
53 1.575 0 18
54 1.605 0 18
55 1.635 0.0535554 18.0809
56 1.665 2.32743 21.7284
57 1.695 8.54814 35.6118
58 1.725 3.60847 41.6818
59 1.755 0.182383 41.9993
60 1.785 0.000380787 42
61 1.815 0 42
62 1.845 0 42
63 1.875 0 42
64 1.905 0.0598444 42.1228
65 1.935 1.47211 45.2387
66 1.965 3.16829 52.1543
67 1.995 0.798687 53.9513
68 2.025 0.0210073 54
69 2.055 0 54
70 2.085 0 54
71 2.115 0.00542464 54.0137
72 2.145 0.435102 55.1454
73 2.175 3.55063 64.6406
74 2.205 4.13293 76
75 2.235 0.693205 77.9575
76 2.265 0.0146628 78
77 2.295 0 78
78 2.325 0.000673346 78.0021
79 2.355 0.112884 78.356
80 2.385 1.02383 81.6481
81 2.415 1.14917 85.4369
82 2.445 0.163787 85.9904
83 2.475 0.00277295 86
84 2.505 0.000193352 86.0007
85 2.535 0.125931 86.4582
86 2.565 2.81579 96.9307
87 2.595 7.07539 123.865
88 2.625 2.49045 133.566
89 2.655 0.108609 133.999
90 2.685 0.000673187 134.001
91 2.715 0.0222208 134.094
92 2.745 0.336693 135.528
93 2.775 0.741623 138.757
94 2.805 0.261841 139.921
95 2.835 0.0173603 140
96 2.865 0.0073907 140.034
97 2.895 0.407228 141.964
98 2.925 3.05889 156.758
99 2.955 3.32835 173.187
100 2.985 0.548078 175.948
