# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0.00389421 0.00199815
29 0.855 1.76758 0.976109
30 0.885 12.9539 8.62467
31 0.915 5.19067 11.9008
32 0.945 0.147038 11.9998
33 0.975 0.000340691 12
34 1.005 6.56679e-08 12
35 1.035 0 12
36 1.065 0 12
37 1.095 0 12
38 1.125 0 12
39 1.155 9.34732e-06 12
40 1.185 0.00458933 12.0049
41 1.215 0.297713 12.3362
42 1.245 2.25521 14.9713
43 1.275 2.18783 17.6523
44 1.305 0.267095 17.9952
45 1.335 0.00354574 18
46 1.365 5.30421e-06 18
47 1.395 0 18
48 1.425 0 18
49 1.455 0.000314439 18.0005
50 1.485 0.114771 18.1913
51 1.515 3.09798 23.5514
52 1.545 7.87567 37.7227
53 1.575 2.21965 41.8733
54 1.605 0.0650598 41.9996
55 1.635 0.000183339 42
56 1.665 2.39264e-08 42
57 1.695 0.000112318 42.0002
58 1.725 0.0488872 42.1099
59 1.755 1.26855 45.0552
60 1.785 2.92552 52.0817
61 1.815 0.750846 53.9463
62 1.845 0.0208832 53.9998
63 1.875 5.86201e-05 54
64 1.905 0.000845173 54.0023
65 1.935 0.121607 54.3455
66 1.965 2.0437 60.294
67 1.995 4.46188 73.6804
68 2.025 1.34441 77.8361
69 2.055 0.0512627 77.9993
70 2.085 0.000238178 78
71 2.115 0.00555258 78.0188
72 2.145 0.258118 78.914
73 2.175 1.22086 83.2675
74 2.205 0.696922 85.8218
75 2.235 0.0469863 85.9987
76 2.265 0.000592847 86.001
77 2.295 0.074567 86.2971
78 2.325 2.06492 94.7111
79 2.355 6.52079 121.972
80 2.385 2.66629 133.405
81 2.415 0.134655 133.997
82 2.445 0.00237813 134.007
83 2.475 0.0822025 134.387
84 2.505 0.552434 137
85 2.535 0.539618 139.614
86 2.565 0.0764185 139.993
87 2.595 0.00569876 140.022
88 2.625 0.310657 141.635
89 2.655 2.68831 155.92
90 2.685 3.15597 173.07
91 2.715 0.516278 175.939
92 2.745 0.0177133 176.04
93 2.775 0.325696 177.93
94 2.805 1.9117 189.268
95 2.835 1.58182 198.852
96 2.865 0.183012 199.984
97 2.895 0.0381932 200.226
98 2.925 0.777667 205.241
99 2.955 2.06472 218.831
100 2.985 0.735639 223.772
