# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
20000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 3.87655e-06 1.175e-06
30 0.885 0.00096514 0.0003146
31 0.915 0.0337458 0.0120289
32 0.945 0.318853 0.13009
33 0.975 1.24663 0.621444
34 1.005 2.69753 1.7511
35 1.035 3.91406 3.48951
36 1.065 4.31956 5.52085
37 1.095 3.91444 7.46684
38 1.125 3.06179 9.07349
39 1.155 2.12812 10.2506
40 1.185 1.33875 11.03
41 1.215 0.772124 11.5026
42 1.245 0.412782 11.7678
43 1.275 0.214437 11.9124
44 1.305 0.125369 12.0009
45 1.335 0.111624 12.0834
46 1.365 0.155634 12.2036
47 1.395 0.25026 12.4055
48 1.425 0.389563 12.7335
49 1.455 0.553979 13.2197
50 1.485 0.708827 13.8678
51 1.515 0.810777 14.6393
52 1.545 0.825094 15.4559
53 1.575 0.746788 16.2239
54 1.605 0.60658 16.8718
55 1.635 0.454957 17.376
56 1.665 0.350358 17.7787
57 1.695 0.347675 18.1928
58 1.725 0.493258 18.8014
59 1.755 0.810841 19.8368
60 1.785 1.27422 21.52
61 1.815 1.78144 23.9531
62 1.845 2.17927 27.0286
63 1.875 2.33511 30.4322
64 1.905 2.19703 33.7378
65 1.935 1.83168 36.5812
66 1.965 1.37689 38.7854
67 1.995 0.974527 40.3934
68 2.025 0.719139 41.616
69 2.055 0.635747 42.7291
70 2.085 0.686065 43.9657
71 2.115 0.792701 45.4358
72 2.145 0.877884 47.1104
73 2.175 0.895098 48.8659
74 2.205 0.842109 50.5634
75 2.235 0.760483 52.1384
76 2.265 0.707934 53.6441
77 2.295 0.731396 55.2412
78 2.325 0.846071 57.1374
79 2.355 1.023 59.4896
80 2.385 1.19962 62.3187
81 2.415 1.30608 65.4767
82 2.445 1.2953 68.6871
83 2.475 1.16906 71.656
84 2.505 0.974748 74.1919
85 2.535 0.776289 76.2601
86 2.565 0.623912 77.962
87 2.595 0.536898 79.4609
88 2.625 0.507051 80.9095
89 2.655 0.519223 82.4269
90 2.685 0.573095 84.1398
91 2.715 0.689773 86.2478
92 2.745 0.893748 89.0398
93 2.775 1.18371 92.8189
94 2.805 1.51066 97.7467
95 2.835 1.78783 103.704
96 2.865 1.92273 110.247
97 2.895 1.86629 116.732
98 2.925 1.63947 122.547
99 2.955 1.31799 127.319
100 2.985 0.990907 130.979
